date,close
230703,102.99
230705,103.37
230706,103.17
230707,102.27
230710,101.97
230711,101.73
230712,100.52
230713,99.77
230714,99.91
230717,99.84
230718,99.94
230719,100.28
230720,100.88
230721,101.07
230724,101.35
230725,101.35
230726,100.89
230727,101.77
230728,101.62
230731,101.86
230801,102.30
230802,102.59
230803,102.54
230804,102.02
230807,102.05
230808,102.53
230809,102.49
230810,102.52
230811,102.84
230814,103.19
230815,103.21
230816,103.42
230817,103.44
230818,103.38
230821,103.33
230822,103.56
230823,103.36
230824,103.98
230825,104.08
230828,104.06
230829,103.55
230830,103.16
230831,103.62
230901,104.24
230905,104.81
230906,104.86
230907,105.06
230908,105.09
230911,104.57
230912,104.71
230913,104.77
230914,105.41
230915,105.32
230918,105.20
230919,105.20
230920,105.16
230921,105.36
230922,105.58
230925,106.00
230926,106.23
230927,106.67
230928,106.22
230929,106.17
231002,106.90
231003,107.00
231004,106.80
231005,106.33
231006,106.04
231009,106.08
231010,105.83
231011,105.82
231012,106.57
231013,106.65
231016,106.24
231017,106.25
231018,106.57
231019,106.25
231020,106.16
231023,105.54
231024,106.27
231025,106.53
231026,106.60
231027,106.56
231030,106.12
231031,106.66
231101,106.88
231102,106.12
231103,105.02
231106,105.22
231107,105.54
231108,105.59
231109,105.91
231110,105.86
231113,105.66
231114,104.11
231115,104.39
231116,104.37
231117,103.82
231120,103.47
231121,103.59
231122,103.92
231124,103.40
231127,103.20
231128,102.75
231129,102.77
231130,103.50
231201,103.27
231204,103.64
231205,104.05
231206,104.15
231207,103.54
231208,104.01
231211,104.10
231212,103.87
231213,102.87
231214,101.96
231215,102.55
231218,102.51
231219,102.17
231220,102.41
231221,101.84
231222,101.70
231226,101.47
231227,100.99
231228,101.23
231229,101.33
240102,102.20
240103,102.46
240104,102.42
240105,102.41
240108,102.21
240109,102.57
240110,102.36
240111,102.29
240112,102.40
240116,103.36
240117,103.45
240118,103.54
240119,103.29
240122,103.33
240123,103.62
240124,103.24
240125,103.57
240126,103.47
240129,103.61
240130,103.40
240131,103.27
240201,103.05
240202,103.92
240205,104.45
240206,104.18
240207,104.04
240208,104.15
240209,104.08
