date,close
150802,185.41
150803,184.77
150804,184.90
150805,184.24
150806,184.93
150809,184.93
150810,185.13
150811,185.22
150812,185.13
150813,185.28
150816,186.60
150817,185.73
150818,185.16
150819,193.20
150820,249.85
150823,249.46
150824,225.82
150825,236.40
150826,240.64
150827,238.05
150830,240.55
150831,236.87
150901,236.99
150902,237.94
150903,239.30
150906,237.56
150907,239.54
150908,241.94
150909,248.51
150910,254.54
150913,261.90
150914,276.07
150915,278.49
150916,282.81
150917,266.63
150920,273.28
150921,267.84
150922,258.97
150923,267.28
150924,266.22
150927,267.70
150928,268.39
150929,269.09
150930,269.11
151001,268.66
151004,268.90
151005,268.94
151006,269.10
151007,271.65
151008,271.44
151011,271.87
151012,272.36
151013,273.36
151014,273.91
151015,273.63
151018,273.25
151019,274.10
151020,274.89
151021,274.96
151022,281.29
151026,275.22
151027,276.24
151028,276.88
151029,276.84
151030,276.77
151102,277.43
151103,278.44
151104,279.96
151105,284.11
151106,297.01
151109,304.74
151110,305.25
151111,303.77
151112,304.38
151113,301.89
151116,305.15
151117,304.99
151118,305.39
151119,304.51
151120,304.61
151123,305.51
151124,303.98
151125,304.18
151126,303.26
151127,304.58
151130,303.97
151201,304.75
151202,303.96
151203,304.58
151204,294.13
151207,304.43
151208,303.49
151209,304.24
151210,304.57
151211,306.45
151214,312.65
151215,330.61
151216,331.51
151217,329.60
151218,329.38
151221,340.22
151222,339.77
151223,333.43
151224,327.43
151225,322.84
151228,322.47
151229,331.92
151230,338.22
151231,336.26
160101,338.89
160104,338.81
160105,339.98
160106,340.58
160107,342.96
160108,340.68
160111,347.57
160112,358.63
160113,363.28
160114,359.57
160115,361.75
160118,357.99
160119,374.57
160120,374.43
160121,374.79
160122,383.68
160125,379.50
160126,373.04
160127,375.33
160128,372.43
160129,366.99
160201,364.58
160202,356.55
160203,372.77
160204,362.11
160205,360.71
160208,362.47
160209,355.55
160210,355.91
160211,357.65
160212,358.19
160215,366.79
160216,360.82
160217,357.31
160218,354.27
160219,347.02
160222,349.91
160223,347.52
160224,346.51
160225,346.04
160226,347.58
160229,349.48
160301,346.65
160302,345.55
160303,343.85
160304,340.48
160307,341.95
160308,342.56
160309,342.94
160310,341.76
160311,341.38
160314,340.23
160315,340.64
160316,342.00
160317,342.61
160318,344.85
160321,343.69
160322,343.02
160323,342.77
160324,343.04
160325,344.14
160327,344.04
160328,344.08
160329,341.19
160330,340.65
160331,342.36
160403,339.85
160404,341.27
160405,342.86
160406,341.44
160407,338.51
160410,337.71
160411,334.07
160412,333.08
160413,331.67
160414,333.81
160417,330.79
160418,338.32
160419,335.92
160420,335.34
160421,331.69
160424,332.63
160425,330.75
160426,331.15
160427,328.34
160428,327.46
160501,323.27
160502,324.88
160503,328.81
160504,330.21
160505,330.92
160508,331.90
160509,331.49
160510,331.20
160511,330.20
160512,327.18
160515,326.31
160516,325.75
160517,326.45
160518,326.85
160519,332.88
160522,333.48
160523,334.21
160524,333.87
160525,333.41
160526,331.45
160529,333.57
160530,333.86
160531,333.54
160601,334.48
160602,335.88
160605,335.01
160606,332.31
160607,330.96
160608,328.31
160609,329.46
160612,332.22
160613,332.18
160614,336.27
160615,334.06
160616,336.55
160619,333.89
160620,332.81
160621,336.94
160622,332.81
160623,332.36
160626,335.34
160627,335.90
160628,337.07
160629,335.23
160630,337.65
160703,334.45
160704,333.29
160705,337.01
160706,333.51
160707,335.69
160710,336.21
160711,334.29
160712,336.66
160713,335.12
160714,336.51
160717,339.65
160718,335.58
160719,337.34
160720,338.35
160721,339.23
160724,341.65
160725,341.78
160726,351.93
160727,348.06
160728,351.02
160731,347.75
160801,349.66
160802,350.47
160803,352.83
160804,349.52
160807,346.92
160808,344.33
160809,342.84
160810,343.95
160811,344.69
160814,341.90
160815,340.37
160816,341.27
