date,close
230702,7.2424
230703,7.2398
230704,7.2135
230705,7.2464
230706,7.2492
230709,7.2113
230710,7.2306
230711,7.2092
230712,7.1653
230713,7.1500
230716,7.1403
230717,7.1706
230718,7.1793
230719,7.2259
230720,7.1765
230723,7.1779
230724,7.1853
230725,7.1354
230726,7.1500
230727,7.1731
230730,7.1028
230731,7.0957
230801,7.1765
230802,7.1904
230803,7.1628
230806,7.1312
230807,7.1923
230808,7.2157
230809,7.2086
230810,7.2147
230813,7.1923
230814,7.2573
230815,7.2815
230816,7.2970
230817,7.2804
230820,7.2807
230821,7.1980
230822,7.2924
230823,7.1705
230824,7.2765
230827,7.2890
230828,7.2891
230829,7.2794
230830,7.2836
230831,7.2569
230903,7.1401
230904,7.2719
230905,7.3034
230906,7.3159
230907,7.3278
230910,7.2324
230911,7.2880
230912,7.2909
230913,7.2688
230914,7.2759
230917,7.2739
230918,7.2906
230919,7.2956
230920,7.2860
230921,7.3065
230924,7.2975
230925,7.3099
230926,7.3107
230927,7.3081
230928,7.2999
231001,7.1636
231002,7.1799
231003,7.1943
231004,7.2003
231005,7.1977
231008,7.3005
231009,7.2904
231010,7.2950
231011,7.2987
231012,7.3015
231015,7.1681
231016,7.3093
231017,7.3117
231018,7.3135
231019,7.3112
231022,7.3154
231023,7.3141
231024,7.3090
231025,7.3157
231026,7.3149
231030,7.1587
231031,7.3121
231101,7.3155
231102,7.3159
231103,7.3141
231106,7.2985
231107,7.2686
231108,7.2781
231109,7.2793
231110,7.2823
231113,7.1818
231114,7.2890
231115,7.2521
231116,7.2458
231117,7.2410
231120,7.2097
231121,7.1675
231122,7.0869
231123,7.1542
231124,7.0858
231127,7.0819
231128,7.1303
231129,7.0638
231130,7.0789
231201,7.0754
231204,7.0618
231205,7.1352
231206,7.1456
231207,7.1446
231208,7.1488
231211,7.1266
231212,7.1742
231213,7.1760
231214,7.1717
231215,7.0670
231218,7.0705
231219,7.1320
231220,7.0676
231221,7.1341
231222,7.1385
231225,7.0833
231226,7.1355
231227,7.1424
231228,7.1402
231229,7.1070
240101,7.0686
240102,7.0686
240103,7.0896
240104,7.0989
240105,7.1100
240108,7.0925
240109,7.0900
240110,7.1016
240111,7.1704
240112,7.1031
240115,7.1006
240116,7.0970
240117,7.1165
240118,7.1145
240119,7.1150
240122,7.1071
240123,7.1927
240124,7.0776
240125,7.0820
240126,7.0811
240129,7.0866
240130,7.0845
240131,7.0941
240201,7.1007
240202,7.0885
240205,7.1126
240206,7.1085
240207,7.1001
240208,7.1011
240209,7.1070
240212,7.1790
240213,7.1922
240214,7.1887
240215,7.1759
240216,7.1639
240219,7.1186
240220,7.1972
240221,7.1897
240222,7.1881
240223,7.1933
240226,7.1944
240227,7.1963
240228,7.1974
240229,7.1960
240301,7.1872
240304,7.1958
240305,7.1989
240306,7.1960
240307,7.1959
240308,7.1923
240311,7.1852
240312,7.1838
240313,7.1810
240314,7.1866
240315,7.1922
240318,7.1950
240319,7.1972
240320,7.1980
240321,7.1976
240322,7.1982
240325,7.2281
240326,7.2084
240327,7.2177
240328,7.2258
240329,7.2265
240331,7.2203
240401,7.2297
240402,7.2324
240403,7.2344
240404,7.2339
240407,7.2314
240408,7.2297
240409,7.2307
240410,7.2315
240411,7.2359
240414,7.2356
240415,7.2370
240416,7.2362
240417,7.2374
240418,7.2367
240421,7.2394
240422,7.2425
240423,7.2445
240424,7.2442
240425,7.2386
240428,7.2446
240429,7.2377
240430,7.2407
240501,7.2399
240502,7.2384
