date,close
230702,87.915
230703,89.470
230704,89.965
230705,91.215
230706,91.215
230709,91.225
230710,90.515
230711,90.465
230712,90.465
230713,90.095
230716,90.215
230717,90.570
230718,90.965
230719,91.915
230720,90.065
230723,90.465
230724,90.415
230725,90.165
230726,89.965
230727,90.665
230730,92.025
230731,91.615
230801,92.375
230802,94.015
230803,94.965
230806,95.840
230807,95.715
230808,97.170
230809,96.840
230810,96.990
230813,99.960
230814,96.965
230815,98.465
230816,94.464
230817,94.465
230820,95.165
230821,93.465
230822,94.465
230823,94.966
230824,94.465
230827,95.465
230828,94.465
230829,95.390
230830,96.265
230831,95.840
230903,96.370
230904,96.215
230905,96.735
230906,97.765
230907,98.465
230910,97.715
230911,95.015
230912,94.869
230913,95.965
230914,95.465
230917,96.765
230918,95.915
230919,97.466
230920,95.990
230921,96.064
230924,96.265
230925,94.805
230926,96.565
230927,96.070
230928,96.615
231001,97.965
231002,98.765
231003,100.965
231004,99.465
231005,100.090
231008,100.965
231009,99.215
231010,100.265
231011,97.716
231012,97.690
231015,97.665
231016,97.315
231017,97.995
231018,98.075
231019,96.150
231022,95.415
231023,94.465
231024,93.445
231025,93.965
231026,93.615
231030,94.165
231031,92.520
231101,93.290
231102,92.575
231103,93.240
231106,91.696
231107,92.620
231108,92.065
231109,91.815
231110,91.640
231113,92.170
231114,91.880
231115,90.500
231116,89.420
231117,89.315
231120,89.340
231121,88.520
231122,88.210
231123,88.365
231124,88.240
231127,89.245
231128,89.040
231129,88.845
231130,88.665
231201,89.940
231204,91.190
231205,91.465
231206,90.177
231207,92.765
231208,92.400
231211,92.120
231212,90.925
231213,90.265
231214,89.315
231215,89.490
231218,90.615
231219,90.490
231220,90.440
231221,90.055
231222,92.860
231225,92.090
231226,91.957
231227,91.595
231228,91.610
231229,88.440
240101,89.215
240102,89.215
240103,90.395
240104,91.965
240105,91.315
240108,90.895
240109,90.895
240110,90.895
240111,90.890
240112,89.890
240115,89.890
240116,89.890
240117,87.950
240118,88.620
240119,88.620
240122,89.420
240123,87.990
240124,87.990
240125,88.690
240126,88.000
240129,88.000
240130,89.270
240131,89.740
240201,89.980
240202,90.410
240205,90.990
240206,90.990
240207,90.510
240208,90.510
240209,91.170
240212,91.370
240213,91.370
240214,91.500
240215,91.640
240216,92.270
240219,92.270
240220,92.470
240221,92.100
240222,92.100
240223,93.040
240226,93.040
240227,91.870
240228,91.870
240229,91.870
240301,91.490
240304,91.490
240305,91.490
240306,91.610
240307,90.810
240308,90.810
240311,90.940
240312,90.490
240313,91.720
240314,91.340
240315,91.340
240318,92.520
240319,92.520
240320,91.440
240321,91.440
240322,92.350
240325,92.120
240326,92.475
240327,92.470
240328,92.440
240329,92.440
240331,92.570
240401,92.280
240402,92.280
240403,92.450
240404,92.450
240407,92.570
240408,92.620
240409,92.620
240410,92.890
240411,92.890
240414,93.300
240415,93.300
240416,93.300
240417,94.140
240418,93.700
240421,93.700
240422,93.020
240423,93.020
240424,93.470
240425,92.270
240428,92.270
240429,93.420
240430,93.420
240501,93.260
240502,93.260
240505,93.260
240506,91.070
240507,91.070
240508,91.280
240509,91.620
240512,91.620
240513,91.620
240514,91.320
240515,90.745
240516,90.745
240519,90.745
240520,90.290
240521,90.320
240522,90.320
240523,91.620
240526,91.620
240527,91.620
240528,91.620
240529,89.570
240530,89.570
240602,90.420
240603,89.320
240604,88.530
240605,89.045
240606,89.320
240609,88.834
240610,88.870
240611,89.246
240612,88.997
240613,87.875
240616,88.064
240617,88.720
240618,85.372
240619,83.496
240620,87.372
240623,87.344
240624,87.995
240625,87.498
240626,88.245
240627,84.996
240630,85.509
240701,86.747
240702,87.846
240703,88.495
240704,88.997
240707,87.193
240708,86.620
240709,86.491
240710,88.345
240711,86.997
240714,86.767
240715,87.994
240716,88.496
240717,88.480
240718,88.397
240721,86.885
240722,87.845
240723,87.846
240724,86.237
240725,84.994
240728,84.996
240729,86.396
240730,85.747
240731,85.996
240801,85.514
240804,84.140
240805,84.872
240806,85.667
240807,85.727
240808,86.744
240811,86.800
240812,90.996
240813,90.496
240814,89.795
240815,88.922
240818,89.464
240819,89.996
240820,91.149
240821,91.497
240822,91.496
240825,90.261
240826,92.001
240827,91.495
240828,91.494
240829,91.496
240901,90.677
240902,89.796
240903,87.873
240904,87.500
240905,88.248
240908,89.154
240909,90.540
240910,90.999
240911,91.569
240912,89.196
240915,89.736
240916,91.396
240917,91.496
240918,93.623
240919,92.170
240922,91.749
240923,91.469
240924,92.797
240925,92.496
240926,92.606
240929,94.229
240930,92.999
241001,95.847
241002,95.647
241003,94.493
241006,94.797
241007,96.196
241008,96.745
241009,97.000
241010,96.595
241013,95.882
241014,95.591
241015,96.995
241016,97.497
241017,97.395
241020,94.953
241021,96.795
241022,95.743
241023,95.951
241024,96.245
241028,97.243
241029,97.245
241030,97.495
241031,97.019
241101,97.373
241104,97.021
241105,98.995
241106,97.796
241107,97.218
241108,97.998
241111,97.064
241112,95.995
241113,98.247
241114,98.494
241115,99.578
241118,99.982
241119,99.746
241120,100.573
241121,100.597
241122,101.297
241125,103.704
241126,104.010
241127,105.493
241128,113.141
241129,107.994
241202,106.503
241203,106.485
241204,104.995
241205,105.000
241206,100.992
241209,97.965
241210,99.995
241211,103.046
241212,105.500
241213,104.996
241216,102.286
241217,103.595
241218,104.593
241219,104.673
241220,103.493
241223,101.842
241224,101.224
241225,99.949
241226,99.985
241227,99.761
241230,104.519
241231,110.494
250102,113.722
250103,110.996
250106,108.834
250107,107.496
250108,107.246
250109,104.496
250110,102.253
250113,101.760
250114,102.745
250115,101.996
250116,102.491
250117,103.614
250120,101.783
250121,100.997
250122,99.495
250123,99.248
250124,99.870
250127,97.212
250128,97.365
250129,97.997
250130,99.245
250131,98.495
250203,98.755
250204,99.746
250205,100.697
250206,97.993
250207,96.733
250210,96.739
250211,96.616
250212,96.471
250213,93.996
250214,89.496
250217,90.091
250218,91.497
250219,91.544
250220,89.619
250221,88.671
250224,87.927
250225,87.737
250226,86.596
250227,86.821
250228,87.698
250303,87.482
250304,89.696
250305,89.748
250306,90.390
250307,89.003
250310,87.951
250311,87.620
250312,85.624
250313,87.146
250314,86.245
250317,84.548
250318,83.446
250319,81.747
250320,83.980
250321,84.921
250324,84.319
250325,83.872
250326,84.622
250327,84.072
250328,84.493
250330,82.620
250331,82.994
250401,84.495
250402,84.254
250403,83.922
250406,83.738
250407,86.146
250408,85.844
250409,86.126
250410,83.487
250413,83.975
250414,82.249
250415,83.545
250416,82.995
250421,81.175
250422,81.518
250423,82.994
250424,83.198
250427,82.739
250428,82.646
250429,81.996
250430,82.018
250501,82.227
250504,81.917
250505,80.497
250506,81.492
250507,80.621
250508,82.496
250511,82.632
250512,80.996
250513,79.843
250514,80.372
250515,79.995
250518,80.005
250519,80.746
250520,80.621
250521,79.885
250522,79.656
250525,78.430
250526,79.746
250527,80.243
250528,79.864
250529,76.893
250601,77.648
250602,79.246
250603,78.970
250604,79.246
250605,77.246
250608,78.523
250609,78.997
250610,78.470
250611,79.499
250612,80.000
250615,79.775
250616,78.613
250617,78.500
250618,78.496
250619,78.370
250622,77.645
250623,78.495
250624,78.371
250625,78.243
250626,78.749
250629,77.728
250630,78.197
250701,78.493
250702,78.921
250703,79.066
250706,77.968
250707,78.697
250708,78.496
250709,78.196
250710,77.797
250713,77.260
250714,78.084
250715,78.072
250716,78.247
250717,78.011
250720,77.752
250721,78.196
250722,78.499
250723,78.391
250724,79.247
250727,78.299
250728,81.331
250729,81.249
250730,81.249
250731,81.098
250803,78.279
250804,79.823
250805,79.997
250806,79.998
250807,79.239
250810,78.905
250811,79.494
250812,79.446
250813,79.447
250814,79.746
250817,78.846
250818,80.491
250819,80.771
250820,80.497
250821,80.580
250824,79.090
250825,80.696
250826,80.495
250827,80.348
250828,80.496
250831,78.898
250901,80.574
250902,80.548
250903,80.997
250904,81.294
250907,81.240
250908,82.472
250909,83.695
250910,84.494
250911,84.484
250914,82.526
250915,82.998
250916,83.196
250917,84.004
250918,83.236
250921,82.802
250922,83.619
250923,83.647
250924,83.756
250925,83.948
250928,82.466
250929,83.069
250930,82.892
251001,82.501
251002,82.549
251005,81.565
251006,83.000
251007,82.073
251008,81.445
251009,81.169
251012,80.077
251013,81.143
251014,79.496
251015,78.650
251016,80.497
251019,80.552
251020,80.845
251021,81.371
251022,81.494
251023,81.420
251027,79.826
251028,79.243
251029,79.237
251030,79.995
251031,79.948
251103,80.893
251104,80.983
251105,80.996
251106,81.347
251107,81.243
251110,80.306
251111,81.249
251112,80.928
251113,81.271
251114,80.696
251117,80.090
251118,81.246
251119,81.069
251120,80.543
251121,80.044
251124,78.185
251125,78.499
251126,78.870
251127,78.496
251128,77.948
251201,76.838
251202,77.725
251203,77.454
251204,76.995
251205,75.997
251208,75.991
251209,76.545
251210,77.186
251211,78.245
251212,80.260
251215,79.726
251216,79.496
251217,79.039
251218,80.497
251219,79.914
251222,79.654
251223,78.795
251224,77.996
251226,78.946
251229,79.030
251230,78.501
251231,79.496
260102,79.001
260105,79.348
260106,80.996
260107,80.495
260108,80.498
260109,80.490
260112,78.290
260113,78.321
260114,78.747
260115,78.495
260116,78.245
260119,76.919
260120,77.492
260121,78.049
260122,76.996
260123,75.996
260126,74.099
260127,76.521
260128,76.245
260129,76.543
260130,75.247
260202,75.576
260203,76.446
260204,76.999
260205,76.244
260206,76.746
260209,75.938
260210,76.996
260211,77.419
260212,77.096
260213,77.230
260216,76.378
260217,76.740
260218,76.347
260219,76.740
260220,76.747
260223,75.573
260224,75.804
260225,76.546
260226,77.236
260227,76.872
260302,76.731
260303,77.472
260304,77.649
260305,77.870
260306,78.661
260309,79.963
260310,78.232
260311,79.045
260312,79.222
260313,79.498
260316,80.147
260317,81.246
260318,82.369
260319,83.870
260320,86.146
260323,83.046
260324,81.919
260325,80.492
260326,80.996
260327,81.371
260329,80.815
260330,81.289
260331,81.296
260401,80.295
260402,80.183
260405,80.406
260406,80.185
260407,78.422
260408,78.548
260409,77.619
260412,76.549
260413,76.166
260414,75.372
260415,75.492
260416,76.371
260419,75.511
260420,74.948
260421,75.118
260422,75.097
260423,75.872
260426,74.525
260427,74.866
260428,75.322
260429,74.746
260430,74.959
260503,74.976
260504,74.996
260505,75.497
260506,74.748
260507,74.646
260510,74.418
260511,73.596
260512,73.824
260513,74.171
260514,73.246
260517,72.840
260518,72.773
260519,71.196
260520,71.211
260521,71.196
260524,70.119
260525,71.433
260526,71.999
260527,70.894
260528,70.845
260531,71.228
260601,71.997
260602,73.197
260603,73.748
260604,73.397
260607,73.682
260608,72.971
260609,71.971
260610,72.244
260611,71.973
260614,72.280
260615,72.446
260616,72.486
260617,72.896
260618,73.321
260621,72.262
260622,74.237
260623,74.497
260624,74.896
260625,75.194
260628,78.968
260629,76.994
260630,78.695
260702,78.190
260703,77.99
260704,76.825
260705,77.29
260706,76.86
260707,76.74
260708,76.54
260709,76.44
260710,76.49
260711,76.925
260713,76.84
260714,76.61
